Location,Scranton,,,
Upkeep,57867.07,,,
Name,Position,Salary,Years with Company,Value
Dwight,Efficiency Evolution Specialist,81953.23,11,48897.09
Jim,Data Innovation Specialist,56536.51,2.9,5800.46
Pam,Operational Analytics Technician,42740.79,19.3,62673.43
Ryan,Data Evolution Consultant,23815.15,4.2,4699.1
Stanley,Efficiency Logistics Technician,29672.62,17.6,80639.31
Michael,Enterprise Communications Technician,30850.84,11.9,60872.97
Kevin,Operational Services Technician,35394.15,18.9,40466.03
Meredith,Data Evolution Technician,54680.19,0.7,42852.4
Angela,Enterprise Communications Consultant,91395.77,1.2,78119.11
Oscar,Creative Innovation Coordinator,74118.53,14.8,43478.86
Phyllis,Enterprise Analytics Technician,49987.67,15.8,59567.15
