Location,Ambiguous,,,
Upkeep,80132.85,,,
Name,Position,Salary,Years with Company,Value
J.D.,Efficiency Analytics Coordinator,36305.79,7.6,34707.28
Turk,Efficiency Innovation Technician,46230.19,11.8,72282.71
Elliot,Data Innovation Specialist,39752.9,7.3,69818.34
Perry,Efficiency Evolution Technician,48615.11,0.7,58732.06
Bob,Enterprise Logistics Engineer,84998.34,2,46589.72
Carla,Brand Services Technician,28001.48,14.3,79078.13
Janitor,Efficiency Evolution Coordinator,65289.31,3.8,8824.73
