Location,Pawnee,,,
Upkeep,98229.98,,,
Name,Position,Salary,Years with Company,Value
Ron,Efficiency Logistics Strategist,17974.76,7.8,1637.48
Leslie,Creative Evolution Strategist,17132.82,15.3,56054.56
Ann,Data Evolution Engineer,20833.15,3.9,92719.2
Mark,Operational Services Specialist,49744.35,9.5,29711.26
Tom,Creative Logistics Coordinator,95482.9,10.2,63981.37
April,Enterprise Services Consultant,73305.12,10.8,6965.54
Andy,Creative Logistics Specialist,20219.37,0.8,30600.96
Jerry,Enterprise Services Technician,32168.94,13.7,14765.2
Donna,Operational Innovation Engineer,72602.92,7.7,43655.69
